id,title,agency,case_group,declared_location,declared_date,title_places,body_places,flags,severity
dow-079-dow-uap-pr47-unresolved-uap-report-indopacom-2023,"DOW-UAP-PR47, Unresolved UAP Report, INDOPACOM, 2023",DoW,DOW/PR-series,Japan,N/A,Indo-PACOM,Pacific Ocean; Japan; Indo-PACOM,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Indo-PACOM, declared=Japan | DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2023",HIGH
dow-080-dow-uap-pr48-unresolved-uap-report-indopacom-2024,"DOW-UAP-PR48, Unresolved UAP Report, INDOPACOM, 2024",DoW,DOW/PR-series,Indo-PACOM,N/A,Indo-PACOM,Pacific Ocean; Indo-PACOM,DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2024,LOW
dow-081-dow-uap-pr49-unresolved-uap-report-department-of-the-army-20,"DOW-UAP-PR49, Unresolved UAP Report, Department of the Army, 2026",DoW,DOW/PR-series,North America,N/A,,North America,DECLARED_DATE_NA_TITLE_HAS_YEAR: title year=2026,LOW
dow-082-western-us-event,Western US Event,DoW,other,Western United States,2023,,,,
fbi-001-65-hs1-834228961-62-hq-83894-section-10,65_HS1-834228961_62-HQ-83894_Section_10,FBI,FBI/62-HQ-83894,N/A,N/A,,Iran; Pacific Ocean; Atlantic Ocean; Germany; Netherlands; Belgium; Italy; United Kingdom,"DECLARED_NA_BUT_BODY_HAS_PLACES: Iran, Germany, Netherlands, Belgium, Italy",LOW
fbi-002-65-hs1-834228961-62-hq-83894-section-2,65_HS1-834228961_62-HQ-83894_Section_2,FBI,FBI/62-HQ-83894,N/A,N/A,,"Lebanon; Pacific Ocean; Atlantic Ocean; United Kingdom; Sweden; Oak Ridge, TN; Detroit, MI; Utica","DECLARED_NA_BUT_BODY_HAS_PLACES: Lebanon, United Kingdom, Sweden, Oak Ridge, TN, Detroit, MI",LOW
fbi-003-65-hs1-834228961-62-hq-83894-section-3,65_HS1-834228961_62-HQ-83894_Section_3,FBI,FBI/62-HQ-83894,N/A,N/A,,"Pacific Ocean; Mexico; Oak Ridge, TN; Texas; California; Arizona; New Mexico; Florida","DECLARED_NA_BUT_BODY_HAS_PLACES: Mexico, Oak Ridge, TN, Texas, California, Arizona",LOW
fbi-004-65-hs1-834228961-62-hq-83894-section-4,65_HS1-834228961_62-HQ-83894_Section_4,FBI,FBI/62-HQ-83894,N/A,N/A,,Pacific Ocean; Germany; Spain; Italy; Sweden; Russia; China; India,"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, Spain, Italy, Sweden, Russia",LOW
fbi-005-65-hs1-834228961-62-hq-83894-section-5,65_HS1-834228961_62-HQ-83894_Section_5,FBI,FBI/62-HQ-83894,N/A,N/A,,United Arab Emirates; Baltic Sea; Germany; Italy; Sweden; Russia; Georgia (country); Mexico,"DECLARED_NA_BUT_BODY_HAS_PLACES: United Arab Emirates, Baltic Sea, Germany, Italy, Sweden",LOW
fbi-006-65-hs1-834228961-62-hq-83894-section-6,65_HS1-834228961_62-HQ-83894_Section_6,FBI,FBI/62-HQ-83894,N/A,N/A,,Pacific Ocean; Germany; Netherlands; United Kingdom; Ireland; Finland; Russia; Korea,"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, Netherlands, United Kingdom, Ireland, Finland",LOW
fbi-007-65-hs1-834228961-62-hq-83894-section-7,65_HS1-834228961_62-HQ-83894_Section_7,FBI,FBI/62-HQ-83894,N/A,N/A,,Egypt; Pacific Ocean; Atlantic Ocean; Germany; Netherlands; France; United Kingdom; Norway,"DECLARED_NA_BUT_BODY_HAS_PLACES: Egypt, Germany, Netherlands, France, United Kingdom",LOW
fbi-008-65-hs1-834228961-62-hq-83894-section-9,65_HS1-834228961_62-HQ-83894_Section_9,FBI,FBI/62-HQ-83894,N/A,N/A,,Atlantic Ocean; Germany; United Kingdom; Russia; Japan; China; Australia; Georgia (country),"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, United Kingdom, Russia, Japan, China",LOW
fbi-009-65-hs1-834228961-62-hq-83894-serial-130,65_HS1-834228961_62-HQ-83894_Serial_130,FBI,FBI/62-HQ-83894,N/A,N/A,,"Pacific Ocean; Atlantic Ocean; Germany; United Kingdom; Mexico; Oak Ridge, TN; Texas; California","DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, United Kingdom, Mexico, Oak Ridge, TN, Texas",LOW
fbi-010-65-hs1-834228961-62-hq-83894-serial-153,65_HS1-834228961_62-HQ-83894_Serial_153,FBI,FBI/62-HQ-83894,N/A,N/A,,"Oak Ridge, TN; Tennessee","DECLARED_NA_BUT_BODY_HAS_PLACES: Oak Ridge, TN, Tennessee",LOW
fbi-011-65-hs1-834228961-62-hq-83894-serial-164,65_HS1-834228961_62-HQ-83894_Serial_164,FBI,FBI/62-HQ-83894,N/A,N/A,,"Oak Ridge, TN; Wright-Patterson AFB; Washington (state)","DECLARED_NA_BUT_BODY_HAS_PLACES: Oak Ridge, TN, Wright-Patterson AFB, Washington (state)",LOW
fbi-012-65-hs1-834228961-62-hq-83894-serial-220,65_HS1-834228961_62-HQ-83894_Serial_220,FBI,FBI/62-HQ-83894,N/A,N/A,,"Mexico; Oak Ridge, TN; California; New York; North America","DECLARED_NA_BUT_BODY_HAS_PLACES: Mexico, Oak Ridge, TN, California, New York",LOW
fbi-013-65-hs1-834228961-62-hq-83894-serial-403,65_HS1-834228961_62-HQ-83894_Serial_403,FBI,FBI/62-HQ-83894,N/A,N/A,,"Oak Ridge, TN; New York","DECLARED_NA_BUT_BODY_HAS_PLACES: Oak Ridge, TN, New York",LOW
fbi-014-65-hs1-834228961-62-hq-83894-serial-438,65_HS1-834228961_62-HQ-83894_Serial_438,FBI,FBI/62-HQ-83894,N/A,N/A,,"Jordan; Mexico; Oak Ridge, TN; New Mexico","DECLARED_NA_BUT_BODY_HAS_PLACES: Jordan, Mexico, Oak Ridge, TN, New Mexico",LOW
fbi-015-65-hs1-834228961-62-hq-83894-serial-449,65_HS1-834228961_62-HQ-83894_Serial_449,FBI,FBI/62-HQ-83894,N/A,N/A,,Pacific Ocean; United Kingdom; Russia; China; Vietnam; Mexico; Canada; Brazil,"DECLARED_NA_BUT_BODY_HAS_PLACES: United Kingdom, Russia, China, Vietnam, Mexico",LOW
fbi-016-65-hs1-834228961-62-hq-83894-sub-a,65_HS1-834228961_62-HQ-83894_SUB_A,FBI,FBI/62-HQ-83894,N/A,N/A,,United Arab Emirates; Baltic Sea; Pacific Ocean; Atlantic Ocean; Germany; Italy; United Kingdom; Ireland,"DECLARED_NA_BUT_BODY_HAS_PLACES: United Arab Emirates, Baltic Sea, Germany, Italy, United Kingdom",LOW
fbi-017-65-hs1-101634279-100-de-18221-serial-844,65_HS1-101634279_100-DE-18221_Serial_844,FBI,other,"Detroit, MI",4/17/58,,"Detroit, MI",,
fbi-018-65-hs1-101634279-100-de-26505,65_HS1-101634279_100-DE-26505,FBI,other,Germany,11/7/57,,"Germany; Poland; Wright-Patterson AFB; Detroit, MI; Texas; California; New York",,
fbi-019-65-hs1-834228961-62-hq-83894-section-1,65_HS1-834228961_62-HQ-83894_Section_1,FBI,FBI/62-HQ-83894,N/A,N/A,,United Arab Emirates; Pacific Ocean; Atlantic Ocean; Germany; Italy; United Kingdom; Sweden; Russia,"DECLARED_NA_BUT_BODY_HAS_PLACES: United Arab Emirates, Germany, Italy, United Kingdom, Sweden",LOW
fbi-020-65-hs1-834228961-62-hq-83894-section-8,65_HS1-834228961_62-HQ-83894_Section_8,FBI,FBI/62-HQ-83894,N/A,N/A,,Israel; Lebanon; Egypt; Pacific Ocean; Atlantic Ocean; Germany; Belgium; Spain,"DECLARED_NA_BUT_BODY_HAS_PLACES: Israel, Lebanon, Egypt, Germany, Belgium",LOW
fbi-021-fbi-photo-a1,FBI Photo A1,FBI,other,N/A,Late 2025,,,,
fbi-022-fbi-photo-a2,FBI Photo A2,FBI,other,N/A,Late 2025,,,,
fbi-023-fbi-photo-a3,FBI Photo A3,FBI,other,N/A,Late 2025,,,,
fbi-024-fbi-photo-a4,FBI Photo A4,FBI,other,N/A,Late 2025,,,,
fbi-025-fbi-photo-a5,FBI Photo A5,FBI,other,N/A,Late 2025,,,,
fbi-026-fbi-photo-a6,FBI Photo A6,FBI,other,N/A,Late 2025,,,,
fbi-027-fbi-photo-a7,FBI Photo A7,FBI,other,N/A,Late 2025,,,,
fbi-028-fbi-photo-a8,FBI Photo A8,FBI,other,N/A,Late 2025,,,,
fbi-029-fbi-photo-b1,FBI Photo B1,FBI,other,Western United States,Late 2025,,,,
fbi-030-fbi-photo-b10,FBI Photo B10,FBI,other,Western United States,Late 2025,,,,
fbi-031-fbi-photo-b11,FBI Photo B11,FBI,other,Western United States,Late 2025,,,,
fbi-032-fbi-photo-b12,FBI Photo B12,FBI,other,Western United States,Late 2025,,,,
fbi-033-fbi-photo-b13,FBI Photo B13,FBI,other,Western United States,Late 2025,,,,
fbi-034-fbi-photo-b14,FBI Photo B14,FBI,other,Western United States,Late 2025,,,,
fbi-035-fbi-photo-b15,FBI Photo B15,FBI,other,Western United States,Late 2025,,,,
fbi-036-fbi-photo-b16,FBI Photo B16,FBI,other,Western United States,Late 2025,,,,
fbi-037-fbi-photo-b17,FBI Photo B17,FBI,other,Western United States,Late 2025,,,,
fbi-038-fbi-photo-b18,FBI Photo B18,FBI,other,Western United States,Late 2025,,,,
fbi-039-fbi-photo-b19,FBI Photo B19,FBI,other,Western United States,Late 2025,,,,
fbi-040-fbi-photo-b2,FBI Photo B2,FBI,other,Western United States,Late 2025,,,,
fbi-041-fbi-photo-b20,FBI Photo B20,FBI,other,Western United States,Late 2025,,,,
fbi-042-fbi-photo-b21,FBI Photo B21,FBI,other,Western United States,Late 2025,,,,
fbi-043-fbi-photo-b22,FBI Photo B22,FBI,other,Western United States,Late 2025,,,,
fbi-044-fbi-photo-b23,FBI Photo B23,FBI,other,Western United States,Late 2025,,,,
fbi-045-fbi-photo-b24,FBI Photo B24,FBI,other,Western United States,Late 2025,,,,
fbi-046-fbi-photo-b3,FBI Photo B3,FBI,other,Western United States,Late 2025,,,,
fbi-047-fbi-photo-b4,FBI Photo B4,FBI,other,Western United States,Late 2025,,,,
fbi-048-fbi-photo-b5,FBI Photo B5,FBI,other,Western United States,Late 2025,,,,
fbi-049-fbi-photo-b6,FBI Photo B6,FBI,other,Western United States,Late 2025,,,,
fbi-050-fbi-photo-b7,FBI Photo B7,FBI,other,Western United States,Late 2025,,,,
fbi-051-fbi-photo-b8,FBI Photo B8,FBI,other,Western United States,Late 2025,,,,
fbi-052-fbi-photo-b9,FBI Photo B9,FBI,other,Western United States,Late 2025,,,,
fbi-053-usper-statement-about-uap-sighting,USPER Statement about UAP Sighting,FBI,other,United States,Late 2025,,,,
fbi-054-fbi-september-2023-sighting-composite-sketch,FBI September 2023 Sighting - Composite Sketch,FBI,other,United States,9/1/23,,,,
fbi-055-fbi-september-2023-sighting-serial-3,FBI September 2023 Sighting - Serial 3,FBI,other,United States,9/1/23,,,,
fbi-056-fbi-september-2023-sighting-serial-4,FBI September 2023 Sighting - Serial 4,FBI,other,United States,9/1/23,,,,
fbi-057-fbi-september-2023-sighting-serial-5,FBI September 2023 Sighting - Serial 5,FBI,other,United States,9/1/23,,,,
nasa-001-255-413270-ufo-s-and-defense-what-should-we-prepare-for,255_413270_UFO's_and_Defense_What_Should_we_Prepare_For,NASA,NASA/mission-docs,N/A,,,Iran; Egypt; Pacific Ocean; Atlantic Ocean; Indian Ocean; Germany; Belgium; France,"DECLARED_NA_BUT_BODY_HAS_PLACES: Iran, Egypt, Indian Ocean, Germany, Belgium",LOW
nasa-002-nasa-uap-d3-gemini-7-transcript-1965,"NASA-UAP-D3, Gemini 7 Transcript, 1965",NASA,NASA/mission-docs,Low Earth Orbit,12/5/65,,Texas; Low Earth Orbit,,
nasa-003-nasa-uap-d3a-gemini-7-audio-excerpt-1965,"NASA-UAP-D3A, Gemini 7 Audio Excerpt, 1965",NASA,NASA/mission-docs,Low Earth Orbit,12/5/65,,Germany; Low Earth Orbit,,
nasa-004-nasa-uap-d1-apollo-12-transcript-1969,"NASA-UAP-D1, Apollo 12 Transcript, 1969",NASA,NASA/mission-docs,Moon,1969,,Moon,,
nasa-005-nasa-uap-d2-apollo-17-transcript-1972,"NASA-UAP-D2, Apollo 17 Transcript, 1972",NASA,NASA/mission-docs,Moon,1972,,Japan; Vietnam; Australia; Moon,,
nasa-006-nasa-uap-d4-apollo-11-technical-crew-debriefing-1969,"NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969",NASA,NASA/mission-docs,N/A,1969,,Moon,DECLARED_NA_BUT_BODY_HAS_PLACES: Moon,LOW
nasa-007-nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973,"NASA-UAP-D5, Apollo 17 Crew Debriefing for Science, 1973",NASA,NASA/mission-docs,N/A,1973,,Texas; Moon,"DECLARED_NA_BUT_BODY_HAS_PLACES: Texas, Moon",LOW
nasa-008-nasa-uap-d6-apollo-17-technical-crew-debriefing-1973,"NASA-UAP-D6, Apollo 17 Technical Crew Debriefing, 1973",NASA,NASA/mission-docs,N/A,1973,,Texas; Moon,"DECLARED_NA_BUT_BODY_HAS_PLACES: Texas, Moon",LOW
nasa-009-nasa-uap-d7-skylab-techincal-crew-debriefing-1973,"NASA-UAP-D7, Skylab Techincal Crew Debriefing 1973",NASA,NASA/mission-docs,N/A,1973,,Atlantic Ocean; Texas,DECLARED_NA_BUT_BODY_HAS_PLACES: Texas,LOW
nasa-010-nasa-uap-vm1-apollo-12-1969,"NASA-UAP-VM1, Apollo 12, 1969",NASA,NASA/mission-docs,Moon,1969,,Moon,,
nasa-011-nasa-uap-vm2-apollo-12-1969,"NASA-UAP-VM2, Apollo 12, 1969",NASA,NASA/mission-docs,Moon,1969,,Moon,,
nasa-012-nasa-uap-vm3-apollo-12-1969,"NASA-UAP-VM3, Apollo 12, 1969",NASA,NASA/mission-docs,Moon,1969,,Moon,,
nasa-013-nasa-uap-vm4-apollo-12-1969,"NASA-UAP-VM4, Apollo 12, 1969",NASA,NASA/mission-docs,Moon,1969,,Moon,,
nasa-014-nasa-uap-vm5-apollo-12-1969,"NASA-UAP-VM5, Apollo 12, 1969",NASA,NASA/mission-docs,Moon,1969,,Moon,,
nasa-015-nasa-uap-vm6-apollo-17-1972,"NASA-UAP-VM6, Apollo 17, 1972",NASA,NASA/mission-docs,Moon,1972,,Moon,,
state-001-59-214434-sp-16-7-18-1963,59_214434_SP 16 [7.18.1963],State,State/cables,N/A,7/18/63,,Washington (state); Moon,"DECLARED_NA_BUT_BODY_HAS_PLACES: Washington (state), Moon",LOW
state-002-59-64634-711-5612-7-2852,59_64634_711.5612[7-2852,State,State/cables,N/A,7/18/52,,Washington (state); Moon,"DECLARED_NA_BUT_BODY_HAS_PLACES: Washington (state), Moon",LOW
state-003-state-department-uap-cable-1-papua-new-guinea-january-28-198,"State Department UAP Cable 1, Papua New Guinea, January 28, 1985",State,State/cables,Papua New Guinea,1/24/85,Papua New Guinea,Pacific Ocean; Papua New Guinea; Indo-PACOM,,
state-004-state-department-uap-cable-2-kazakhstan-january-31-1994,"State Department UAP Cable 2, Kazakhstan, January 31, 1994",State,State/cables,Kazakhstan,1/27/94,Kazakhstan,Kazakhstan; Ashgabat,,
state-005-state-department-uap-cable-3-tbilisi-georgia-october-30-2001,"State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001",State,State/cables,Georgia,10/28/2001-10/29/2001,Georgia (country),Russia; Georgia (country); Florida; New York,,
state-006-state-department-uap-cable-4-ashgabat-turkmenistan-november,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",State,State/cables,Turkmenistan,11/5/04,Turkmenistan; Ashgabat,Turkmenistan; Ashgabat; Texas; Florida,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Ashgabat, declared=Turkmenistan",HIGH
state-007-state-department-uap-cable-5-mexico-september-16-2003,"State Department UAP Cable 5, Mexico, September 16, 2003",State,State/cables,Mexico,9/12/03,Mexico,Mexico; Florida,,
