sort_date,incident_date_raw,id,type,agency,title,incident_location,summary_short
2003-09-12,9/12/03,state-007-state-department-uap-cable-5-mexico-september-16-2003,pdf,State,"State Department UAP Cable 5, Mexico, September 16, 2003",Mexico,"On September 12, 20023 the Mexican Congress heard testimony on UAP from experts related to the debate about an Aerial Space Protection Law, which, if approved, would make Mexico the first country to f"
2004-11-05,11/5/04,state-006-state-department-uap-cable-4-ashgabat-turkmenistan-november,pdf,State,"State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004",Turkmenistan,UFOlogists of Turkmenistan has gained a positive reputation as a reliable partner for the United States in Turkmenistan to the bemusement of the cable’s author in the build up of civil society organiz
2016-11-18,11/18/16,dow-039-dow-uap-d55-mission-report-syria-november-2016,pdf,DoW,"DOW-UAP-D55, Mission Report, Syria, November 2016",Syria,"This document is a mission briefing summarizing an observation of Unidentified Anomalous Phenomena (UAP) by a U.S. military platform near Latakia, Syria. A U.S. military pilot flying a P-8A aircraft r"
2020-05-14,5/14/20,dow-028-dow-uap-d38-range-fouler-debrief-middle-east-may-2020,pdf,DoW,"DOW-UAP-D38, Range Fouler Debrief, Middle East, May 2020",Persian Gulf,"This document is a Range Fouler Debrief, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active milit"
2020-07-16,7/16/20,dow-049-dow-uap-d65-mission-report-persian-gulf-july-2020,pdf,DoW,"DOW-UAP-D65, Mission Report, Persian Gulf, July 2020",Persian Gulf,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2020-08-08,8/8/20,dow-044-dow-uap-d60-mission-report-persian-gulf-august-2020,pdf,DoW,"DOW-UAP-D60, Mission Report, Persian Gulf, August 2020",Persian Gulf,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2020-08-24,8/24/20,dow-040-dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020,pdf,DoW,"DOW-UAP-D56, Range Fouler Debrief, Arabian Sea, August 2020",Arabian Sea,"This document is a Range Fouler Debrief Form, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active "
2020-08-27,8/27/20,dow-045-dow-uap-d61-mission-report-persian-gulf-august-2020,pdf,DoW,"DOW-UAP-D61, Mission Report, Persian Gulf, August 2020",Persian Gulf,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
2020-08-31,8/31/20,dow-030-dow-uap-d42-range-fouler-debrief-japan-2023,pdf,DoW,"DOW-UAP-D42, Range Fouler Debrief, Japan, 2023",Arabian Gulf,"This document is a Range Fouler Debrief Form, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during active "
2020-09-04,9/4/20,dow-041-dow-uap-d57-range-fouler-reporting-form-gulf-of-aden-septemb,pdf,DoW,"DOW-UAP-D57, Range Fouler Reporting Form, Gulf of Aden, September 2020",Gulf of Aden,"This document is a Range Fouler Reporting Form, a standardized reporting form the U.S. Navy uses to record the circumstances surrounding an unauthorized intrusion into controlled airspace during activ"
2020-09-16,9/16/20,dow-046-dow-uap-d62-mission-report-strait-of-hormuz-september-2020,pdf,DoW,"DOW-UAP-D62, Mission Report, Strait of Hormuz, September 2020",Strait of Hormuz,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to rep"
